id,Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
171,It Happened One Autumn,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,September 27th 2005,382,Avon,English
172,Boycotts & Barflies,Victoria Michaels,Romance;Womens Fiction;Chick Lit;Humor;Funny;Romance;Contemporary Romance;Contemporary;Adult,February 16th 2010,422,Omnific Publishing,
173,Rock and a Hard Place,Angie Stanton,Young Adult;Romance;Contemporary;Music;Womens Fiction;Chick Lit;Romance;Contemporary Romance,May 3rd 2011,207,Vanguard Management,
174,The Wedding,Julie Garwood,Romance;Historical Romance;Historical;Romance;Historical;Medieval;Historical;Historical Fiction,January 1st 2003,384,Pocket Books,English
175,Fantasy Lover,Sherrilyn Kenyon,Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Fantasy;Fantasy;Urban Fantasy;Adult,February 18th 2002,337,St. Martin's Press,English
176,Love Story,Erich Segal,Romance;Classics;Fiction;Womens Fiction;Chick Lit;Contemporary,May 29th 2012,224,Avon,
177,Stardust,Neil Gaiman,Fantasy;Fiction,August 29th 2006,248,Harper Perennial,English
178,Real,Katy Evans,Romance;Contemporary;Romance;Contemporary Romance;Sports and Games;Sports;Warfare;Fighters,April 8th 2013,293,Smashwords,English
179,Like Water for Chocolate,Laura Esquivel;Thomas  Christensen;Carol Christensen,Fiction;Romance;Magical Realism;Historical;Historical Fiction;Classics;Fantasy;Food and Drink;Food,October 1st 1996,221,Random House Black Swan,English
180,The Opportunist,Tarryn Fisher,New Adult;Contemporary;Romance,November 14th 2011,278,,
181,Perfection,R.L. Mathewson,Romance;Romance;Contemporary Romance;Contemporary;Humor;Funny;Adult,August 27th 2011,247,,
182,In Flight,R.K. Lilley,Romance;Erotica;Bdsm;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult,October 20th 2012,330,R.K. Lilley,
183,The Sea of Tranquility,Katja Millay,Young Adult;Romance;Contemporary;Sociology;Abuse;Fiction;New Adult,November 13th 2012,426,Atria Books,
184,Love Unrehearsed,Tina Reber,Romance;Romance;Contemporary Romance;Contemporary;New Adult;Adult,September 14th 2012,448,Atria Books,
185,Vain,Fisher Amelie,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance,December 2012,390,Fisher Amelie,
186,The Bridges of Madison County,Robert James Waller,Fiction;Romance;Classics;Womens Fiction;Chick Lit;Contemporary,September 1st 1995,224,Grand Central Publishing,English
187,Dear John,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary;Adult;Adult Fiction;Love;Young Adult;Drama;Romance;Contemporary Romance,October 30th 2006,276,Warner Books,English
188,Lover Avenged,J.R. Ward,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance;Fantasy,April 28th 2009,527,NAL,English
189,Dream a Little Dream,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports,February 1st 1998,400,Avon,English
190,Northanger Abbey,Jane Austen;Alfred MacAdam,Classics;Fiction;Romance;Historical;Historical Fiction,March 3rd 2005,251,Barnes & Noble Classics,English
191,Scandal in Spring,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,July 25th 2006,374,Avon,English
192,After the Night,Linda Howard,Romance;Romance;Romantic Suspense;Romance;Contemporary Romance;Contemporary;Suspense;Mystery,November 1st 1997,352,Pocket Books,English
193,Onyx,Jennifer L. Armentrout,Young Adult;Fantasy;Paranormal;Romance;Science Fiction;Aliens;Fantasy;Science Fiction,August 14th 2012,366,Entangled Teen,English
194,Dream Man,Linda Howard,Romance;Romance;Romantic Suspense;Suspense;Contemporary;Romance;Contemporary Romance;Fantasy;Paranormal,November 1st 2005,368,Pocket Books,English
195,Lady Be Good,Susan Elizabeth Phillips,Romance;Contemporary;Romance;Contemporary Romance;Womens Fiction;Chick Lit;Sports and Games;Sports,June 29th 2004,384,Avon,English
196,Savor the Moment,Nora Roberts;Angela Dawe,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,April 27th 2010,325,Brilliance Audio,English
197,The Darkest Passion,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,May 21st 2010,438,Mira,English
198,Sophie & Carter,Chelsea Fine,Young Adult;Romance;Contemporary;Young Adult;High School;Sociology;Abuse,July 25th 2011,117,Acacia Publishing,English
199,Again the Magic,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Adult,May 26th 2015,391,Avon,English
200,Annie's Song,Catherine Anderson,Romance;Historical Romance;Romance;Historical;Westerns;Historical;Historical Fiction,January 1996,410,Avon,English
201,Guilty Pleasures,Laurell K. Hamilton,Fantasy;Urban Fantasy;Paranormal;Vampires;Fantasy;Fantasy;Paranormal;Horror;Romance,August 3rd 2004,355,Berkley,English
202,The Law of Attraction,N.M. Silber,Romance;Romance;Contemporary Romance;Humor;Funny;Contemporary;Did Not Finish,July 23rd 2013,None,Mendelssohn Levy Publishing,English
203,Pandemonium,Lauren Oliver,Science Fiction;Fantasy,February 28th 2012,375,HarperTeen,English
204,The Next Always,Nora Roberts;MacLeod Andrews,Adult Fiction,November 1st 2011,352,Brilliance Audio,English
205,Flat-Out Sexy,Erin McCarthy,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Contemporary Romance;Sports Romance,November 4th 2008,291,Berkley,English
206,Tempting the Best Man,J. Lynn;Jennifer L. Armentrout,Romance;Contemporary;Romance;Contemporary Romance;Adult;Womens Fiction;Chick Lit;Adult Fiction;Erotica,April 23rd 2012,172,Indulgence (Entangled),English
207,Reflected in You,Sylvia Day,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult,October 23rd 2012,338,Berkley,English
208,In Bed with a Highlander,Maya Banks,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,August 30th 2011,351,Ballantine Books,English
209,Fury,Laurann Dohner,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Adult Fiction;Erotica;Fantasy,July 27th 2011,376,Ellora's Cave Publishing,
210,Hearts in Darkness,Laura Kaye;Güneş Demirel,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica;Adult;Novella,April 21st 2011,112,The Wild Rose Press,
211,Sempre,J.M. Darhower,Romance;New Adult;Young Adult;Contemporary;Romance;Contemporary Romance;Did Not Finish,February 25th 2014,518,Gallery Books,English
212,The Golden Lily,Richelle Mead,Young Adult;Paranormal;Vampires;Fantasy;Fantasy;Paranormal;Romance,June 12th 2012,418,Penguin Group,English
213,If I Stay,Gayle Forman,Young Adult;Romance;Contemporary;Fiction,April 2nd 2009,201,Dutton Books for Young Readers,English
214,Atonement,Ian McEwan,Historical;Historical Fiction;Romance;Classics;Fiction;Historical,February 25th 2003,351,Anchor Books,English
215,Kiss of the Highlander,Karen Marie Moning,Romance;Science Fiction;Time Travel;Romance;Paranormal Romance;Romance;Historical Romance;Fantasy;Paranormal;Fantasy;Historical,September 4th 2001,396,Dell,English
216,Honor's Splendour,Julie Garwood,Romance;Historical Romance;Romance;Historical;Historical;Medieval;Historical;Historical Fiction,April 30th 1991,374,Pocket Books,English
217,Torment,Lauren Kate,Young Adult;Fantasy;Paranormal;Angels;Fantasy;Paranormal;Romance,September 28th 2010,452,Delacorte Press,English
218,Crash,Nicole  Williams,Romance;Young Adult;New Adult;Contemporary;Romance;Contemporary Romance,July 19th 2012,215,,
219,The Duke and I,Julia Quinn,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Historical;Regency,June 27th 2006,384,Avon,English
220,Rock Chick Reckoning,Kristen Ashley,Romance;Contemporary;Romance;Contemporary Romance,November 13th 2011,484,,
221,Rule,Jay Crownover;Charlotte Connan de vries,New Adult;Romance;Romance;Contemporary Romance;Academic;College,December 30th 2012,369,Jay Crownover Books,
222,Carolina Moon,Nora Roberts,Romance;Romance;Romantic Suspense;Mystery;Fiction;Romance;Contemporary Romance;Contemporary,April 2001,470,Penguin Putnam Berkley,English
223,Dark Prince,Christine Feehan,Romance;Paranormal Romance;Romance;Fantasy;Paranormal;Paranormal;Vampires;Fantasy,April 5th 2005,447,Leisure Books,English
224,Lothaire,Kresley Cole,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Vampires;Fantasy,January 10th 2012,468,Gallery Books,English
225,Inescapable,Amy A. Bartol,Fantasy;Paranormal;Paranormal;Angels;Young Adult;Fantasy;Romance;Romance;Paranormal Romance,August 8th 2011,368,CreateSpace,English
226,Beautiful Creatures,Kami Garcia;Margaret Stohl,Young Adult;Fantasy;Fantasy;Paranormal;Romance,December 1st 2009,563,Little; Brown and Company,English
227,City of Lost Souls,Cassandra Clare,Fantasy;Young Adult;Fantasy;Paranormal;Romance,May 8th 2012,534,Margaret K. McElderry,English
228,Lover Revealed,J.R. Ward,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance;Fantasy,March 6th 2007,455,Onyx,English
229,Nine Rules to Break When Romancing a Rake,Sarah MacLean,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Historical Romance;Regency Romance;Adult,March 30th 2010,422,Avon,English
230,Motorcycle Man,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary,May 22nd 2012,335,Smashwords,
231,Happy Ever After,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Fiction,November 2nd 2010,333,Brilliance Audio,English
232,Saving Grace,Julie Garwood,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Medieval;Fiction;Cultural;Scotland;Historical Romance;Medieval Romance;Adult;Humor;Funny,March 1st 1994,407,Pocket Books,English
233,A Queen's Spy,Samantha Burnell,Historical;Historical Fiction;Fiction;Mystery;Romance;Historical,April 19th 2017,406,Amazon Digital Services,
234,Bed of Roses,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,October 27th 2009,335,Berkley,English
235,Wicked Deeds on a Winter's Night,Kresley Cole,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Vampires,November 1st 2007,359,Pocket Star,English
236,This Man,Jodi Ellen Malpas,Romance;Adult Fiction;Erotica;Romance;Contemporary Romance;Contemporary;Did Not Finish,October 20th 2012,448,,
237,Dreaming of You,Lisa Kleypas,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction,June 30th 2015,373,Avon,English
238,Cry No More,Linda Howard,Romance;Romance;Romantic Suspense;Suspense;Contemporary;Mystery;Romance;Contemporary Romance,May 27th 2004,384,Piatkus,English
239,Last Sacrifice,Richelle Mead,Young Adult;Paranormal;Vampires;Fantasy;Paranormal;Fantasy;Fantasy;Urban Fantasy,December 7th 2010,608,Razorbill,English
240,The Flame and the Flower,Kathleen E. Woodiwiss,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction,April 1972,430,Avon,English
241,The Raven Prince,Elizabeth Hoyt,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,November 1st 2006,392,Warner Forever,English
242,Shadowfever,Karen Marie Moning,Fantasy;Urban Fantasy;Fantasy;Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Fairies;Fae,January 18th 2011,608,Delacorte Press,English
243,Welcome to Temptation,Jennifer Crusie,Romance;Womens Fiction;Chick Lit;Romance;Contemporary Romance;Contemporary;Fiction;Humor,July 11th 2004,416,St. Martin's Paperbacks,English
244,Unwritten Rules,M.A. Stacie,Romance;Romance;Contemporary Romance;Contemporary;New Adult;Adult;Music,January 27th 2011,256,TWCS Publishing House,
245,Take This Regret,Amy Lichtenhan;A.L. Jackson,Romance;Romance;Contemporary Romance;New Adult;Contemporary,April 5th 2012,242,Sapphire Star Publishing,
246,Tribute,Nora Roberts,Romance;Romance;Romantic Suspense;Fiction;Mystery;Romance;Contemporary Romance;Contemporary,July 8th 2008,392,Putnam,English
247,The V Girl,Mya Robarts,Romance;Young Adult;Young Adult;Coming Of Age;Science Fiction;Dystopia;Science Fiction;Love,June 20th 2015,341,,
248,Seduction of a Highland Lass,Maya Banks,Romance;Historical Romance;Romance;Historical,September 27th 2011,323,Ballantine Books,English
249,Sweet Dreams,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary,April 23rd 2011,562,Amazon Digital Services,
250,Kiss of Snow,Nalini Singh,Romance;Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Fantasy;Urban Fantasy;Paranormal;Shapeshifters;Science Fiction,May 31st 2011,432,Gollancz,English
251,The Deal,Elle Kennedy,New Adult;Romance;Contemporary;Sports and Games;Sports;Academic;College;Romance;Contemporary Romance,February 24th 2015,342,Elle Kennedy Inc.,
252,Providence,Jamie McGuire,Fantasy;Paranormal;Romance;Paranormal;Angels;Young Adult;Fantasy;Romance;Paranormal Romance;New Adult,November 17th 2010,360,Jamie McGuire LLC,English
253,Lover Awakened,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Paranormal;Vampires;Fantasy;Urban Fantasy,September 5th 2006,448,Signet,English
254,The Lucky One,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary;Adult,August 11th 2009,326,Grand Central Publishing,English
255,Seduced in the Dark,C.J. Roberts,Dark;Erotica;Bdsm;Adult Fiction;Erotica;Romance;Adult,August 30th 2012,505,Neurotica Books,
256,Confess,Colleen Hoover,Romance;New Adult;Contemporary;Fiction,March 10th 2015,306,Atria Books,
257,Falling into You,Jasinda Wilder,Young Adult;Romance;Academic;College;Did Not Finish,March 14th 2013,240,Jasinda Wilder,
258,Knight,Kristen Ashley,Romance;Adult Fiction;Erotica;Romance;Contemporary Romance;Erotica;Bdsm;Contemporary,April 7th 2012,285,Kristen Ashley,
259,Wildalone,Krassi Zourkova,Fantasy;Romance;Fiction;Fantasy;Paranormal;New Adult;Fantasy;Mythology;Young Adult,January 6th 2015,384,William Morrow,
260,Yours Truly; Taddy,Avery Aster,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Erotica;Menage,April 11th 2014,192,Avery Aster; Inc.,;
261,Unearthly,Cynthia Hand,Young Adult;Paranormal;Angels;Fantasy;Fantasy;Paranormal;Romance,January 4th 2011,435,HarperTeen,English
262,Stray,Rachel Vincent,Fantasy;Urban Fantasy;Fantasy;Paranormal;Fantasy;Paranormal;Shapeshifters;Romance;Romance;Paranormal Romance,June 1st 2007,618,Mira Books,English
263,Carnal Innocence,Nora Roberts,Romance;Contemporary Romance;Mystery;Contemporary;Suspense;Fiction,December 1st 1991,512,Bantam,English
264,Love in the Afternoon,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Adult,June 29th 2010,332,St. Martin's,English
265,Naked,Raine Miller,Romance;Adult Fiction;Erotica;Romance;Contemporary Romance;Contemporary;Romance;Erotic Romance;Adult,August 25th 2012,208,Raine Miller Romance,
266,A Rose in Winter,Kathleen E. Woodiwiss,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction,October 1983,567,Avon Books,English
267,Tatiana and Alexander,Paullina Simons,Historical;Historical Fiction;Romance;Historical;Romance;Historical Romance;Fiction;Cultural;Russia;War;Adult;War;World War II;Adult Fiction,,559,HarperCollins,English
268,No Place to Run,Maya Banks,Romance;Romance;Romantic Suspense;War;Military;Suspense;Contemporary;Romance;Contemporary Romance,December 7th 2010,332,Berkley Sensation,English
269,Collide,Gail McHugh,Romance;New Adult;Romance;Contemporary Romance;Contemporary,January 18th 2013,395,,
270,Suddenly You,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,November 28th 2006,384,Avon,English
271,Because of Low,Abbi Glines,Romance;New Adult;Young Adult;Contemporary,February 7th 2012,294,,
272,The Last Song,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Young Adult;Contemporary,September 8th 2009,390,Grand Central Publishing,English
273,The Darkest Lie,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,July 2nd 2010,442,Mira,English
274,Half-Blood,Jennifer L. Armentrout,Young Adult;Fantasy;Fantasy;Paranormal;Fantasy;Mythology;Romance;Romance;Paranormal Romance,October 18th 2011,281,Spencer Hill Press,English
275,Angels Fall,Nora Roberts,Romance;Romance;Romantic Suspense;Mystery;Fiction;Romance;Contemporary Romance;Suspense;Contemporary,July 11th 2006,391,Putnam,English
276,Whitney; My Love,Judith McNaught,Historical;Historical;Regency;Fiction;Romance;Historical Romance,April 25th 2006,736,Pocket Books,English
277,Sea Swept,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Womens Fiction;Chick Lit,January 1st 1998,330,Jove Books,English
278,Mine Till Midnight,Lisa Kleypas,Romance;Historical Romance;Historical;Historical;Historical Fiction;Romance;Historical;Regency,October 2nd 2007,376,St. Martin's Paperbacks,English
279,The Beast in Him,Shelly Laurenston,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Paranormal;Shapeshifters;Fantasy,April 1st 2008,325,Brava,English
280,Silence,Becca Fitzpatrick,Young Adult;Fantasy;Paranormal;Romance;Fantasy;Romance;Paranormal Romance,October 4th 2011,448,Simon & Schuster Books for Young Readers,English
281,The Lion's Lady,Julie Garwood,Romance;Historical Romance;Historical;Romance;Historical;Historical Fiction;Historical;Regency,March 1st 1991,360,Pocket Books,English
